T,S_ref,D,A,F,r_eff,q_eff,carry_eff,rmse_w,n,n_used
0.0027397260273972603,3990.4,0.9994522048890788,3972.208878625836,3974.3860278608117,0.20000000000001739,1.6677375353579496,-1.4677375353579323,66.97852845339635,874,15
0.005479452054794521,3990.4,0.9989047098576412,3980.365658283364,3984.730093875146,0.200000000000009,0.4594962163486935,-0.25949621634868447,63.119436534414184,839,15
0.00821917808219178,4016.84,0.9983575147413052,3984.005656422687,3990.5600925486337,0.1999999999999994,0.9986113302578583,-0.7986113302578589,63.96375164460066,718,15
0.010958904109589041,3998.71,0.9978106193757785,3949.5067722235126,3958.172718881554,0.19999999999999934,1.1297759024888079,-0.9297759024888086,75.70273347532387,718,15
0.0136986301369863,3971.98,0.9972640235968593,3958.171930018749,3969.0311054666377,0.2000000000000001,0.25421710358332916,-0.05421710358332907,72.31729102278219,863,15
0.01643835616438356,3990.4,0.9967177272404354,3962.522236905557,3975.5711457810653,0.19999999999999993,0.42648579994591806,-0.22648579994591814,71.76377160843633,1185,15
0.019178082191780823,3998.71,0.9961717301424846,3945.128360182193,3960.2894167835025,0.20000000000000237,0.7034237191648783,-0.5034237191648759,75.22760947082,1435,15
0.021917808219178082,3990.4,0.9956260321390747,3945.0130523477815,3962.344218613922,0.2000000000000007,0.5219141219279144,-0.3219141219279137,84.97961784157938,1184,15
0.024657534246575342,3990.4,0.9950806330663632,3949.329719128186,3968.8539681033067,0.19999999999999943,0.41957169140492795,-0.21957169140492852,61.9412578786202,923,15
0.0273972602739726,4016.84,0.9945355327605971,3974.0254860308446,3995.8607361165696,0.199999999999999,0.3911327795096868,-0.19113277950968777,54.86086786721832,826,15
0.030136986301369864,3982.87,0.9939907310581135,3971.403171339066,3995.412680671042,0.1999999999999995,0.09566945442550692,0.10433054557449259,58.87603874744324,845,15
0.03287671232876712,3971.98,0.993446227795339,3959.264215813521,3985.3835114960784,0.19999999999999954,0.09753125483718104,0.1024687451628185,61.95909908736997,907,15
0.03561643835616438,3982.87,0.9929020228087896,3953.6541838202147,3981.917745152584,0.20000000000000134,0.20671364688762656,-0.006713646887625213,79.02044733703947,1295,15
0.038356164383561646,3990.4,0.9923581159350713,3940.3446800179277,3970.6882190458546,0.19999999999999982,0.3291068068172889,-0.12910680681728906,67.24629708031856,1519,15
0.0410958904109589,3982.87,0.9918145070108791,3942.5299288567567,3975.0678186173286,0.19999999999999996,0.24771415546849032,-0.047714155468490366,63.169840363696395,1161,15
0.043835616438356165,3969.31,0.991271195872998,3931.6525808847805,3966.2734045472107,0.1999999999999996,0.21745866273880612,-0.01745866273880653,57.23171412377028,922,15
0.04657534246575343,3998.71,0.9907281823583017,3961.1446323920186,3998.2153560656975,0.2000000000000005,0.20265609488076214,-0.002656094880761628,51.491792640530484,933,15
0.049315068493150684,3998.71,0.9901854663037541,3932.6619597721065,3971.6417717705663,0.19999999999999904,0.3377318449188799,-0.13773184491888088,81.50087709433657,899,15
0.052054794520547946,3971.98,0.9896430475464078,3928.108071578728,3969.2170639884434,0.19999999999999987,0.21336762119687125,-0.013367621196871377,79.43069543045007,968,15
0.0547945205479452,3971.98,0.9891009259234047,3922.4842893329974,3965.7068217493024,0.2000000000000005,0.2288460679997181,-0.02884606799971759,70.33261910411359,1174,15
0.057534246575342465,3971.98,0.9885591012719763,3931.0191213906674,3976.5140155329464,0.20000000000000004,0.18017095654447368,0.019829043455526357,74.26477486766609,1408,15
0.06027397260273973,3982.87,0.988017573429443,3929.187001309184,3976.8391848242545,0.1999999999999998,0.22514079927991348,-0.025140799279913695,76.69803594492265,1112,15
0.06301369863013699,3990.4,0.9874763422332141,3920.1662226651893,3969.8836873393734,0.20000000000000034,0.28180253254662824,-0.08180253254662789,71.84201465893617,823,15
0.06575342465753424,3998.71,0.9869354075207885,3937.6356491042006,3989.7602407392196,0.20000000000000082,0.23407685700410297,-0.03407685700410215,56.789669528652354,779,15
0.0684931506849315,3982.87,0.9863947691297537,3907.5883685164704,3961.4852904825707,0.20000000000000015,0.2786010951508707,-0.07860109515087058,64.90800128986086,803,15
0.07123287671232877,3928.85,0.9858544268977862,3901.026685017637,3957.0007280822374,0.19999999999999957,0.09977122170067004,0.10022877829932952,74.64273701859138,809,15
0.07397260273972603,3969.31,0.9853143806626516,3913.6508135167987,3971.981826637665,0.20000000000000004,0.1909034600337317,0.00909653996626833,80.03088415619236,993,15
0.07671232876712329,3990.4,0.9847746302622044,3916.3229350115234,3976.8722859653385,0.20000000000000015,0.24426699081585213,-0.044266990815851975,74.48104859143287,1024,15
0.07945205479452055,3982.87,0.9842351755343876,3906.9657691601988,3969.544948481366,0.20000000000000015,0.2421788886432754,-0.042178888643275236,84.14939039481452,780,15
0.0821917808219178,3969.31,0.9836960163172332,3914.366142158801,3979.2436659583386,0.1999999999999998,0.16958952018331866,0.03041047981668113,52.924958688089156,608,15
0.08493150684931507,3994.5550000000003,0.983157152448862,3948.274267406,4015.913689456036,0.20000000000000018,0.13721167903949147,0.06278832096050871,57.147467014732676,609,15
0.08767123287671233,4018.18,0.9826185837674835,3921.852658021156,3991.2258151929905,0.19999999999999962,0.2767715703767355,-0.07677157037673588,80.19256225262328,608,15
0.09041095890410959,4016.22,0.9820803101113954,3929.6831278447694,4001.386737301589,0.19999999999999937,0.240926193529991,-0.040926193529991634,71.09802671447818,393,15
0.09315068493150686,4016.22,0.9815423313189844,3942.873017151015,4017.0178008039975,0.2000000000000004,0.19786770253321562,0.0021322974667847827,53.64423721982863,307,15
