T,F,D
0.0027397260273972,3852.2082661959453,0.9781428533706875
0.0054794520547945,3853.257786528577,1.0140357091238759
0.0136986301369863,3852.5118698961005,0.9979285662267151
0.0164383561643835,3851.6626641574353,0.9963928520536034
0.0191780821917808,3852.0168704413554,1.0048571378242466
0.021917808219178,3852.877498458742,0.9988214234385495
0.0246575342465753,3853.3900497324225,0.9896785665197777
0.0356164383561643,3853.700233949391,0.9873571380771214
0.0383561643835616,3854.0524195953026,0.9990357092578674
0.0410958904109589,3855.2442126757683,0.9827499949525894
0.0438356164383561,3855.7712681013236,1.0113214235472257
0.0520547945205479,3856.3930348338586,1.0265357090215643
0.0547945205479452,3856.2232154514977,1.0028214235076904
0.0575342465753424,3856.9455017581345,0.985178566555863
0.0602739726027397,3858.354032118247,1.0064999950215292
0.0630136986301369,3858.581965864936,0.9990357115827918
0.0712328767123287,3859.147839208881,0.997464286795831
0.073972602739726,3859.4963177809445,0.9860714236736922
0.0767123287671232,3859.281058806406,0.9928511925701885
0.0794520547945205,3860.3511522969734,1.0015292273739265
0.0821917808219178,3861.1622654595667,0.9924137881246788
0.0904109589041095,3860.945934704652,0.9972499948785974
0.1013698630136986,3862.5002645287313,0.9955834838924571
0.1205479452054794,3863.8082392262613,0.9929285665889339
0.1397260273972602,3866.286104262596,0.9992118681590244
0.1506849315068493,3866.501331538751,0.9968928520523319
0.1971506849315068,3871.8493661529533,1.0057499949963684
0.2355068493150685,3877.582636525175,0.9951071375204024
0.2930410958904109,3886.8862893649907,1.005775558269028
0.3122191780821917,3889.0004824669877,0.9859181197950837
0.3697534246575342,3895.203394289708,0.9810353276682089
0.4026301369863014,3898.8771533986405,0.9796529513260698
0.4464657534246575,3905.4240158056296,0.9724554051253852
0.4848219178082192,3911.2755245209773,0.9695357096313866
0.5423561643835617,3919.7750590192845,0.9735357092940745
0.6190684931506849,3929.8085869858683,0.9697928522629895
0.6957808219178082,3939.7688060749483,0.9659999950156519
0.7341369863013698,3946.477454930781,0.9638853953654146
0.7916712328767123,3954.75542283937,0.9603071379110638
0.8684931506849315,3964.3168794471653,0.9585214236400501
0.9452054794520548,3973.4252006910056,0.9567357095001273
0.9835616438356164,3981.9198937260494,0.9531359948707807
1.0410958904109588,3989.9230496991213,0.9529999947150825
1.1944109589041096,4006.993421908761,0.9475571377247483
1.4629041095890412,4038.505290307953,0.9343428523558588
1.9616438356164383,4085.405109541678,0.9130578163488056
