T,K,x,iv,w,wt,S,w_svi,iv_svi
0.0027397260273972,3640.0,-0.05666287785472228,0.5434008440491221,0.0008089985679816216,0.2888556801561596,3853.39,0.000786666483865673,0.5358481749628126
0.0027397260273972,3645.0,-0.055290194042750054,0.5322421109225788,0.0007761141496967573,0.2888556801561596,3853.39,0.0007625875059457189,0.5275835854821428
0.0027397260273972,3650.0,-0.053919391908971465,0.5300322792006322,0.0007696827862866049,0.2888556801561596,3853.39,0.000738578437630073,0.5192120277256513
0.0027397260273972,3655.0,-0.052550466301629725,0.5098843319172659,0.0007122795395471531,0.2888556801561596,3853.39,0.0007146427009126684,0.5107294644262554
0.0027397260273972,3660.0,-0.05118341209009675,0.5073643385288569,0.0007052563616734761,0.2888556801561596,3853.39,0.000690784175651493,0.5021316800529523
0.0027397260273972,3665.0,-0.049818224164756765,0.4960054746074142,0.0006740313173712898,0.2888556801561596,3853.39,0.0006670072739468234,0.4934142833264922
0.0027397260273972,3765.0,-0.02289869825151471,0.2774253232409267,0.00021086249308309858,0.358652644504098,3853.39,0.000228659523334264,0.28889570093202876
0.0027397260273972,3800.0,-0.013645492771031555,0.1282660359236133,4.5074454716595326e-05,0.4290522358569544,3853.39,0.0001317491873711176,0.2192907964107454
0.0027397260273972,3805.0,-0.01233056818972244,0.1545939393826355,6.547749614751082e-05,0.38006011203937823,3853.39,0.0001233101397978295,0.21215136347949487
0.0027397260273972,3810.0,-0.011017370364761957,0.1530665874456555,6.419008271851501e-05,0.48816609946391437,3853.39,0.00011619745759199085,0.20594191419203034
0.0027397260273972,3815.0,-0.009705894766951296,0.1730715418324549,8.206509203359596e-05,0.4290522358569518,3853.39,0.00011030386704137249,0.20065121846154296
0.0027397260273972,3820.0,-0.008396136884887766,0.1584606351535415,6.87938983377075e-05,0.7627595304123655,3853.39,0.00010550281400408183,0.19623589659257226
0.0027397260273972,3825.0,-0.007088092224872376,0.1751143803753267,8.401382524447652e-05,0.5603947570376582,3853.39,0.00010166152313219976,0.1926303609072405
0.0027397260273972,3830.0,-0.005781756310816982,0.1866629623886653,9.546044254167538e-05,0.7627595304123633,3853.39,9.865102704780891e-05,0.18975675184944288
0.0027397260273972,3835.0,-0.004477124684152052,0.172548606565613,8.156992226776452e-05,3.0510381216494395,3853.39,9.635251868692662e-05,0.1875331152642887
0.0027397260273972,3840.0,-0.0031741929037361403,0.1857659963252868,9.454522024856357e-05,4.393494895175246,3853.39,9.466048556295079e-05,0.1858792006397644
0.0027397260273972,3845.0,-0.001872956545764289,0.1771585889546299,8.598675517916393e-05,4.393494895175184,3853.39,9.348353113809368e-05,0.1847200283277505
0.0027397260273972,3850.0,-0.0005734112036786874,0.2038182380856013,0.00011381335390772039,4.3934948951752135,3853.39,9.274378026386142e-05,0.18398771642778264
0.0027397260273972,3855.0,0.000724447511921312,0.1876121733544705,9.643377422133457e-05,2.2415790281506127,3853.39,9.237555942894812e-05,0.18362210975687762
0.0027397260273972,3860.0,0.0020206239733678143,0.1874802829852294,9.629823700882444e-05,3.0510381216494395,3853.39,9.232380734321349e-05,0.18357066672067643
0.0027397260273972,3865.0,0.003315122536013648,0.2001659003984268,0.00010977092515701927,3.0510381216494755,3853.39,9.25424808017763e-05,0.1837879361999832
0.0027397260273972,3870.0,0.0046079475383188455,0.1991175703440902,0.00010862412827324064,0.5603947570376544,3853.39,9.299309011652832e-05,0.18423484440391177
0.0027397260273972,3875.0,0.0058991033019387676,0.1831230898303603,9.187415350415745e-05,0.7627595304123643,3853.39,9.364341832827711e-05,0.18487792645370593
0.0027397260273972,3880.0,0.0071885941318105655,0.1971152167766657,0.00010645043475318099,0.42905223585695135,3853.39,9.44664338398934e-05,0.1856885789475536
0.0027397260273972,3885.0,0.008476424316239078,0.1957383525435108,0.00010496850042862158,0.5603947570376507,3853.39,9.543938389022388e-05,0.18664237225220986
0.0027397260273972,3890.0,0.009762598126983282,0.1847110608236984,9.347445476880892e-05,0.38006011203937845,3853.39,9.654304705481549e-05,0.18771843855894504
0.0027397260273972,3895.0,0.011047119819339986,0.1874137150865265,9.622986466447384e-05,0.457179489612406,3853.39,9.776112072623516e-05,0.18889893876111805
0.0027397260273972,3900.0,0.012329993632229187,0.1948150031804646,0.00010398050812110574,0.4881660994639089,3853.39,9.907972073520977e-05,0.19016860431825325
0.0027397260273972,3905.0,0.013611223788277773,0.1855152190914215,9.429012743708865e-05,0.560394757037657,3853.39,0.00010048697293012392,0.19151434703305137
0.0027397260273972,3910.0,0.014890814493902711,0.1866502541602771,9.54474448714939e-05,0.4290522358569545,3853.39,0.00010197267958539999,0.19292492853094909
0.0027397260273972,3915.0,0.016168769939394773,0.1843548567180966,9.3114282727532e-05,0.5603947570376572,3853.39,0.00010352804644732623,0.1943906812408324
0.0027397260273972,3920.0,0.017445094298999562,0.1840709189962789,9.282768005516142e-05,0.40344305740819514,3853.39,0.00010514545883248887,0.1959032732596862
0.0027397260273972,3925.0,0.01871979173100019,0.1851309244168729,9.389988815190452e-05,0.358652644504098,3853.39,0.0001068182974059064,0.19745551031347972
0.0027397260273972,3930.0,0.019992866377798346,0.1826369234064058,9.138697477084002e-05,0.4571794896124053,3853.39,0.00010854078609408502,0.19904116891824641
0.0027397260273972,3940.0,0.022534163806470792,0.1861129792206508,9.489874255996062e-05,0.27459343094845307,3853.39,0.00011211509098284336,0.20229188863802405
0.0027397260273972,3945.0,0.023802394794465952,0.1908257294172125,9.97656411167408e-05,0.28885568015616375,3853.39,0.00011395853942735118,0.20394819658674135
0.0027397260273972,3955.0,0.026334041716245666,0.1965318359445149,0.00010582126723211197,0.26136198067669325,3853.39,0.00011774061803170078,0.20730490968998233
0.0027397260273972,3960.0,0.02759746576301769,0.2049878460606181,0.00011512333433581023,0.2888556801561596,3853.39,0.00011967342668762549,0.20899952330324648
0.0054794520547945,3725.0,-0.0338521169802386,0.2945021187395872,0.0004752410846142772,0.26907659305874804,3853.39,0.0005761608920892388,0.3242674248306272
0.0054794520547945,3745.0,-0.028497351842578567,0.18314,0.00018378224438356092,0.32558267760108156,3853.39,0.000494079567482819,0.30028240219102886
0.0054794520547945,3750.0,-0.027163128829441906,0.1778574806903861,0.00017333305993167642,0.42525084421366277,3853.39,0.00047469030433282017,0.294331412765848
0.0054794520547945,3755.0,-0.025830683595663383,0.1739355612840453,0.00016577303824216857,0.45063346380772806,3853.39,0.00045588997958540293,0.28844396557102103
0.0054794520547945,3760.0,-0.024500011409958285,0.2265365595204136,0.00028119897424299013,0.45063346380772784,3853.39,0.0004377662090771506,0.2826523185055808
0.0054794520547945,3765.0,-0.023171107559904515,0.2220538730392146,0.00027018039743405725,0.2953130862594886,3853.39,0.00042041870615247535,0.27699533186107494
0.0054794520547945,3770.0,-0.021843967351842002,0.2170150661868451,0.0002580577476826333,0.5788136490685948,3853.39,0.00040395869746424223,0.2715188065074397
0.0054794520547945,3775.0,-0.020518586110773354,0.2410643513495681,0.0003184220355703441,0.4506334638077237,3853.39,0.000388506765894198,0.26627520495850043
0.0054794520547945,3780.0,-0.019194959180265043,0.2432276776509893,0.0003241627571259909,0.4506334638077324,3853.39,0.0003741885141293565,0.261322413559587
0.0054794520547945,3785.0,-0.017873081922349248,0.234136211527285,0.00030038227697725664,0.5788136490685948,3853.39,0.00036112762634995783,0.2567212336540699
0.0054794520547945,3790.0,-0.016552949717426463,0.2431592413067919,0.00032398036511175027,0.5788136490685887,3853.39,0.00034943642790786795,0.2525314794103621
0.0054794520547945,3795.0,-0.015234557964168179,0.2438945861133751,0.0003259428445776127,0.6644544440838551,3853.39,0.00033920491398788994,0.24880694685396176
0.0054794520547945,3800.0,-0.013917902079421325,0.2409059593289781,0.00031800373282309607,0.9043963266696746,3853.39,0.0003304901951105899,0.2455900254645593
0.0054794520547945,3805.0,-0.012602977498112235,0.2550974823645867,0.0003565738384041116,0.6644544440838487,3853.39,0.0003233088745915949,0.24290712137145404
0.0054794520547945,3810.0,-0.01128977967315178,0.2769176866039692,0.0004201830419402401,0.6644544440838417,3853.39,0.0003176345083158258,0.24076606440202164
0.0054794520547945,3815.0,-0.009978304075341032,0.2767905905143643,0.00041979743012213807,3.617585306678731,3853.39,0.0003134009307423814,0.23915616207926743
0.0054794520547945,3820.0,-0.00866854619327753,0.2760574641849853,0.0004175765672999679,0.9043963266696772,3853.39,0.00031051046185136835,0.23805074939574322
0.0054794520547945,3825.0,-0.007360501533262279,0.2562115690045377,0.0003596951676261191,2.65781777633538,3853.39,0.000308844736672818,0.23741138229408779
0.0054794520547945,3830.0,-0.006054165619206801,0.2709742469126256,0.0004023399588485716,2.65781777633538,3853.39,0.0003082756564336983,0.23719255321183705
0.0054794520547945,3835.0,-0.004749533992541897,0.2493815732160908,0.00034077352909442317,2.034891735006786,3853.39,0.0003086746093047184,0.23734598416259609
0.0054794520547945,3840.0,-0.0034466022121259,0.2569200449249979,0.00036168717525623397,2.6578177763354076,3853.39,0.00030991910314325964,0.23782396078537818
0.0054794520547945,3845.0,-0.002145365854154076,0.2679292752712613,0.00039334847423223585,3.617585306678731,3853.39,0.00031189679685420977,0.2385815697531842
0.0054794520547945,3850.0,-0.0008458205120685008,0.2665968762461194,0.0003894459968448681,3.617585306678731,3853.39,0.00031450739964475403,0.23957796316683183
0.0054794520547945,3855.0,0.00045203820353147215,0.2491826309277069,0.0003402300468824852,2.657817776335353,3853.39,0.0003176630592219214,0.24077688491215446
0.0054794520547945,3860.0,0.0017482146649781694,0.2640078820656603,0.00038191869475504286,2.65781777633538,3853.39,0.00032128780936874793,0.24214670183547146
0.0054794520547945,3865.0,0.003042713227623977,0.252073161446359,0.0003481691984743119,0.9043963266696772,3853.39,0.0003253165146373211,0.24366014019800475
0.0054794520547945,3870.0,0.004335538229929147,0.2606890745331561,0.0003723769511285104,2.6578177763353814,3853.39,0.00032969360967271416,0.24529387225381427
0.0054794520547945,3875.0,0.005626693993548822,0.2587779327177767,0.0003669370874612927,2.65781777633538,3853.39,0.0003343718157904835,0.24702804776333287
0.0054794520547945,3880.0,0.0069161848234205936,0.2574590879676934,0.00036320647658715747,0.6644544440838487,3853.39,0.0003393109353028155,0.2488458271556187
0.0054794520547945,3885.0,0.008204015007849301,0.2553467258988779,0.0003572709612453504,0.664454444083845,3853.39,0.00034447677064145877,0.2507329468619281
0.0054794520547945,3890.0,0.009490188818593478,0.2464203404004949,0.00033272868034572904,0.7706098878132144,3853.39,0.0003498401831769581,0.2526773306606572
0.0054794520547945,3895.0,0.010774710510950157,0.2536101753716345,0.00035242806055907377,0.9043963266696772,3853.39,0.000355376288830473,0.25466875095221553
