QUOTE_UNIXTIME,QUOTE_READTIME,QUOTE_DATE,QUOTE_TIME_HOURS,S,EXPIRE_DATE,EXPIRE_UNIX,DTE,C_DELTA,C_GAMMA,C_VEGA,C_THETA,C_RHO,C_IV,C_VOLUME,C_LAST,C_SIZE,C_BID,C_ASK,K,P_BID,P_ASK,P_SIZE,P_LAST,P_DELTA,P_GAMMA,P_VEGA,P_THETA,P_RHO,P_IV,P_VOLUME,STRIKE_DISTANCE,STRIKE_DISTANCE_PCT,T,C_IV_MID,P_IV_MID,C_MID,P_MID,C_SPRD,P_SPRD,Y,C_SPRD_REL,P_SPRD_REL,moneyness,mon_bucket,T_bucket
1672866000, 2023-01-04 16:00, 2023-01-04,16.0,3853.39, 2023-01-05,1672952400,1.0,0.83496,0.00691,0.65251,-2.18792,0.10802,0.15171, 76.000000,35.27, 115 x 100,40.3,41.7,3815.0,4.4,4.6, 70 x 168,4.56,-0.19061,0.00636,0.7219,-3.41952,-0.0351,0.16065, 471.000000,38.4,0.01,0.0027397260273972603,0.15171,0.16065,41.0,4.5,1.4000000000000057,0.1999999999999993,-0.010012615613923899,0.034146341463414775,0.04444444444444429,1.0100629095674967,ATM,1W
1672866000, 2023-01-04 16:00, 2023-01-04,16.0,3853.39, 2023-01-05,1672952400,1.0,0.82163,0.00791,0.68868,-2.16287,0.10814,0.13892, 68.000000,34.93, 103 x 103,35.6,36.5,3820.0,5.7,6.0, 157 x 215,6.0,-0.22893,0.00691,0.80494,-4.13688,-0.04206,0.16437, 1579.000000,33.4,0.009,0.0027397260273972603,0.13892,0.16437,36.05,5.85,0.8999999999999986,0.2999999999999998,-0.00870285773186033,0.024965325936199684,0.05128205128205125,1.008740837696335,ATM,1W
1672866000, 2023-01-04 16:00, 2023-01-04,16.0,3853.39, 2023-01-05,1672952400,1.0,0.76369,0.00834,0.81393,-3.1329,0.11164,0.1481, 533.000000,29.79, 3 x 5,32.2,33.4,3825.0,6.0,6.2, 51 x 36,6.6,-0.25049,0.00785,0.84484,-4.14912,-0.046,0.15258, 705.000000,28.4,0.007,0.0027397260273972603,0.1481,0.15258,32.8,6.1,1.1999999999999957,0.20000000000000018,-0.007394813071845015,0.03658536585365841,0.03278688524590167,1.0074222222222222,ATM,1W
1672866000, 2023-01-04 16:00, 2023-01-04,16.0,3853.39, 2023-01-05,1672952400,1.0,0.7114,0.00864,0.90266,-3.95767,0.10946,0.15507, 402.000000,28.8, 52 x 3,29.2,30.2,3830.0,7.2,7.4, 128 x 29,8.5,-0.28947,0.0085,0.90689,-4.59402,-0.05352,0.15131, 829.000000,23.4,0.006,0.0027397260273972603,0.15507,0.15131,29.7,7.300000000000001,1.0,0.20000000000000018,-0.006088477157789584,0.03367003367003367,0.027397260273972626,1.006107049608355,ATM,1W
1672866000, 2023-01-04 16:00, 2023-01-04,16.0,3853.39, 2023-01-05,1672952400,1.0,0.67978,0.00974,0.94554,-3.93512,0.10649,0.14333, 366.000000,25.4, 51 x 17,25.0,25.3,3835.0,8.5,8.8, 35 x 76,9.4,-0.33094,0.00916,0.96178,-4.97812,-0.06112,0.14893, 502.000000,18.4,0.005,0.0027397260273972603,0.14333,0.14893,25.15,8.65,0.3000000000000007,0.3000000000000007,-0.004783845531124727,0.011928429423459274,0.03468208092485557,1.0047953063885267,ATM,1W
1672866000, 2023-01-04 16:00, 2023-01-04,16.0,3853.39, 2023-01-05,1672952400,1.0,0.62183,0.00968,1.00533,-4.699,0.10185,0.15166, 529.000000,22.67, 71 x 15,22.6,22.9,3840.0,11.1,11.3, 14 x 52,11.3,-0.38408,0.00923,1.01225,-5.69096,-0.07066,0.15587, 634.000000,13.4,0.003,0.0027397260273972603,0.15166,0.15587,22.75,11.2,0.29999999999999716,0.20000000000000107,-0.0034809137507086653,0.013186813186813062,0.017857142857142953,1.0034869791666667,ATM,1W
1672866000, 2023-01-04 16:00, 2023-01-04,16.0,3853.39, 2023-01-05,1672952400,1.0,0.57718,0.01043,1.03631,-4.70851,0.09588,0.14447, 568.000000,19.03, 5 x 9,18.9,19.1,3845.0,12.9,13.2, 26 x 10,13.2,-0.43008,0.00966,1.04138,-5.90785,-0.07912,0.15437, 619.000000,8.4,0.002,0.0027397260273972603,0.14447,0.15437,19.0,13.05,0.20000000000000284,0.29999999999999893,-0.002179677392736888,0.010526315789473833,0.022988505747126353,1.0021820546163849,ATM,1W
1672866000, 2023-01-04 16:00, 2023-01-04,16.0,3853.39, 2023-01-05,1672952400,1.0,0.52173,0.00929,1.05518,-5.61576,0.08893,0.16368, 2217.000000,17.05, 6 x 18,18.2,18.4,3850.0,15.1,15.4, 65 x 10,15.4,-0.47902,0.00978,1.05524,-6.05636,-0.08809,0.15284, 1203.000000,3.4,0.001,0.0027397260273972603,0.16368,0.15284,18.299999999999997,15.25,0.1999999999999993,0.3000000000000007,-0.0008801320506513592,0.010928961748633843,0.01967213114754103,1.0008805194805195,ATM,1W
1672866000, 2023-01-04 16:00, 2023-01-04,16.0,3853.39, 2023-01-05,1672952400,1.0,0.47308,0.01003,1.05456,-5.17839,0.08161,0.15006, 654.000000,13.8, 32 x 27,14.3,14.6,3855.0,16.4,16.8, 18 x 94,18.5,-0.52991,0.01056,1.05406,-5.69135,-0.09732,0.142, 349.000000,1.6,0.0,0.0027397260273972603,0.15006,0.142,14.45,16.6,0.29999999999999893,0.40000000000000213,0.00041772666494867836,0.02076124567474041,0.0240963855421688,0.9995823605706874,ATM,1W
1672866000, 2023-01-04 16:00, 2023-01-04,16.0,3853.39, 2023-01-05,1672952400,1.0,0.42301,0.00993,1.03716,-5.0674,0.07363,0.14961, 639.000000,11.5, 97 x 25,12.0,12.3,3860.0,18.8,19.1, 5 x 61,20.6,-0.58573,0.01071,1.03335,-5.44351,-0.10793,0.13721, 547.000000,6.6,0.002,0.0027397260273972603,0.14961,0.13721,12.15,18.950000000000003,0.3000000000000007,0.3000000000000007,0.0017139031263952184,0.024691358024691416,0.015831134564643835,0.9982875647668393,ATM,1W
